"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_latitude","from_longitude","from_location","to_latitude","to_longitude","to_location"
"25962894","2019-12-31T23:49:53.000","2020-01-01T00:22:30.000","2898","1956","90","Millennium Park","76","Lake Shore Dr & Monroe St","Customer",,,"41.8810317","-87.62408432","POINT (-87.62408432 41.8810317)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25962893","2019-12-31T23:49:51.000","2020-01-01T00:22:08.000","3925","1936","90","Millennium Park","76","Lake Shore Dr & Monroe St","Customer",,,"41.8810317","-87.62408432","POINT (-87.62408432 41.8810317)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25962892","2019-12-31T23:49:43.000","2020-01-01T00:21:51.000","1671","1927","90","Millennium Park","76","Lake Shore Dr & Monroe St","Customer",,,"41.8810317","-87.62408432","POINT (-87.62408432 41.8810317)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25962891","2019-12-31T23:49:38.000","2020-01-01T00:15:19.000","2936","1540","90","Millennium Park","76","Lake Shore Dr & Monroe St","Customer",,,"41.8810317","-87.62408432","POINT (-87.62408432 41.8810317)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25962872","2019-12-31T23:29:21.000","2020-01-01T00:59:36.000","626","5415","417","Cornell Ave & Hyde Park Blvd","248","Woodlawn Ave & 55th St","Customer","Male","1988","41.802406","-87.586924","POINT (-87.586924 41.802406)","41.795264","-87.596471","POINT (-87.596471 41.795264)"
"25962871","2019-12-31T23:29:12.000","2020-01-01T01:27:26.000","957","7094","417","Cornell Ave & Hyde Park Blvd","420","Ellis Ave & 55th St","Customer","Male","1988","41.802406","-87.586924","POINT (-87.586924 41.802406)","41.794300621","-87.601449773","POINT (-87.6014497734 41.79430062054)"
"25962870","2019-12-31T23:28:43.000","2020-01-01T01:27:24.000","6011","7120","417","Cornell Ave & Hyde Park Blvd","420","Ellis Ave & 55th St","Customer","Male","1988","41.802406","-87.586924","POINT (-87.586924 41.802406)","41.794300621","-87.601449773","POINT (-87.6014497734 41.79430062054)"
"25962868","2019-12-31T23:27:24.000","2020-01-01T17:25:25.000","3939","64681","127","Lincoln Ave & Fullerton Ave","671","HUBBARD ST BIKE CHECKING (LBS-WH-TEST)","Customer","Male","1995","41.925905","-87.64926","POINT (-87.64926 41.925905)",,,
"25962867","2019-12-31T23:26:58.000","2019-12-31T23:52:59.000","2609","1560","641","Central Park Ave & Bloomingdale Ave","641","Central Park Ave & Bloomingdale Ave","Customer","Male","1989","41.914166","-87.716755","POINT (-87.716755 41.914166)","41.914166","-87.716755","POINT (-87.716755 41.914166)"
"25962853","2019-12-31T23:12:07.000","2019-12-31T23:38:52.000","3467","1605","76","Lake Shore Dr & Monroe St","35","Streeter Dr & Grand Ave","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.892278","-87.612043","POINT (-87.612043 41.892278)"
