company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
The Little Cocoa Bean Co.,Baby and Toddler Food; Baby and Toddler Accessories,MWBE,SLBE,,No,No,"112 South Street, Boston, MA 02111",Boston,MA,02111,Tracy Skelly,"Tracy Skelly, CEO & Founder",(617) 331-3226,,tskelly@littlecocoabeanco.com,www.littlecocoabeanco.com,Limited Liability Company,No,06/13/2019,Less than 10,"FD - Food Products, Services",AL - Apparel,,"424330 - Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",424490 - Other Grocery and Related Products Merchant Wholesalers ,,50190000 - Prepared and preserved foods,53100000 - Clothing,
starz & cloudz inc,"trucking company(tractor trailer/18 wheelers)

transportation
dispatch
motor carrier services
freight brokerage services
consulting",MBE,SBE,,No,No,"7 Fiske Street, Worcester, MA 01602",Worcester,MA,01602,nguidjoi pierre,nguidjoi pierre,(857) 880-0903,,contact@starzcloudzinc.com,www.starzcloudzinc.com,Corporation,No,10/25/2018,11 - 20,TK - Trucking (Waste Disposal Commodities Transport),,,"484121 - General Freight Trucking, Long-Distance, Truckload ","484110 - General Freight Trucking, Local ","484220 - Specialized Freight (except Used Goods) Trucking, Local ",25100000 - Motor vehicles,25190000 - Transportation services equipment,78140000 - Transport services
"21st Century Management Services, Inc.",General personal home care assistance and transportation services,MWBE,SBE,,Yes,No,"402 Main Street, Randolph, MA 02368",Randolph,MA,02368,Judith Joseph,"Judith Joseph, President",(781) 828-0221,(781) 828-8555,judith.joseph@21stcenturyhomecare.com,,Corporation,No,01/01/2004,41 - 100,"AHS - Health Care (Providers, Services)",ES - Elderly Services,MO - Multi Service Organizations,621610 - Home Health Care Services,,,85100000 - Comprehensive health services,,
"3 South, LLC","First Responder equipment, Services, Software/IT Solutions to include PPE, Law enforcement equipment, Fire equipment, CBRNE (Chemical, Biological, Radiological, Nuclear, Explosive) detection equipment, Emergency Preparedness and Response equipment, Homeland Security equipment, Healthcare solutions, Tactical gear, Apparel, UAV systems",WBE,SBE,,No,Yes,"3175 Conway Drive, Baton Rouge, LA 70809",Baton Rouge,LA,70809,Charlotte Johnston,,(504) 858-1955,(504) 324-0969,charlotte@3southcompanies.com,www.3southcompanies.com,Limited Liability Company,No,01/01/2011,Less than 10,SA - Safety Products,TA - Training (see also ED),SU - Suppliers,423840 - Industrial Supplies Merchant Wholesalers,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers ,541690 - Other Scientific and Technical Consulting Services,46170000 - Security surveillance and detection,42170000 - Emergency and field medical services products,46180000 - Personal safety and protection
"617 Home Improvement, Inc.","General contracting services, full remodeling, kitchen cabinet supplies and installation, flooring supplies and installation, painting",WBE,SBE,,No,Yes,"275 Salem Street, Woburn, MA 01801",Woburn,MA,01801,Kristina Filozova,,(617) 659-1449,,617homeimprovement@gmail.com,www.617homeimprovement.com,Corporation,Yes,01/01/2017,Less than 10,CA - Carpentry,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,236210 - Industrial Building Construction ,72110000 - Residential building construction services,,
"813 Consultants, LLC","Low overhead staffing, payroll, and consulting services   ",WBE,SLBE,,Yes,Yes,"10 Coniston Road, Roslindale, MA 02131",Roslindale,MA,02131,Kristen Harrington,,(617) 435-9123,,813consultants@gmail.com,www.813Consultants.com,Limited Liability Company,No,01/01/2015,Less than 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)","EM - Employement (see also OS, TR)",,561320 - Temporary Help Services,541214 - Payroll Services ,561110 - Office Administrative Services,80110000 - Human resources services,,
A & M Home Services LLC,Landscape; hardscape; excavation; bobcat services; junk removal; maintenance; distribution center; snow removal   ,MBE,SLBE,,No,Yes,"34 Vale Street, Roxbury, MA 2119",Roxbury,MA,2119,Adam Nurse,Adam Nurse,(617) 697-2353,,aandmhomeservices@yahoo.com,,Limited Liability Company (LLC),No,01/01/2014,Less than 10,LA - Landscaping Contractors,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",SN - Snow Removal/Plowing (see also TK),561730 - Landscaping Services,238990 - All Other Specialty Trade Contractors,,30120000 - Roads and landscape,22100000 - Heavy construction machinery and equipment,78140000 - Transport services
A & S Construction and Demolition Company,Lead abatement; asbestos removal; home repair services,MBE,SLBE,,No,No,"4 Lorna Road, Mattapan, MA 2126",Mattapan,MA,2126,Andrew Simpson,,(617) 799-4955,,andrew@asconstructiondemo.com,,Corporation,Yes,01/01/2001,Less than 10,AB - Asbestos Control,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,562910 - Remediation Services ,238910 - Site Preparation Contractors,,,,
"A Better Resolution, Inc.",Audio/visual production; multimedia production   ,MBE,SLBE,,No,No,"42 8th Street, Suite 3210, Charlestown, MA 2129",Charlestown,MA,2129,Francis Miranda,,(617) 669-9759,,frank@abetterresolution.com,www.abrboston.com,Corporation,No,01/01/1997,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,ET - Entertainment/Entertainer,,532490 - Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,512110 - Motion Picture and Video Production ,,45110000 - Audio and visual presentation and composing equipment,,
"A-Plus Welding and Engineering, Inc.",Structural steel erection and supplier; Fire escape repair and Inspection; Misc. metals installation and supplier; Rebar and mesh installation and supplier; Welding; Aluminum welding; Stainless steel welding; Pile driving welding services; Barge repair,MBE,SBE,,No,No,"200 Quarry Hills Drive, Quincy, MA 02169",Quincy,MA,02169,Edward Jordan,,(857) 389-6243,,weldboston54@gmail.com,www.apluswelding.net,Corporation,Yes,01/01/2007,Less than 10,"ST - Steel Contractos (Reinforcing, Erecting, see also FB, GC)",WE - Welding (see also FB),"RO - Road, Railroad, Highway, Bridge Contractors (see also PV)",238120 - Structural Steel and Precast Concrete Contractors ,238990 - All Other Specialty Trade Contractors,,72150000 - Specialized trade construction and maintenance services,23270000 - Welding and soldering and brazing machinery and accessories and supplies,72100000 - Building and facility maintenance and repair services
ABC Specialtees,Custom apparel embroidery and screenprinting; promotional items; awards; gifts; banners   ,WBE,SBE,,No,Yes,"525 Washington Street, Whitman, MA 2382",Whitman,MA,2382,Barbara Sheldon,,(781) 447-1532,,info@abcspecialtees.com,,Sole Proprietorship,No,01/01/1995,Less than 10,AL - Apparel,PT - Printers,RT - Retail Sales of Art & Framing,541430 - Graphic Design Services,314999 - All Other Miscellaneous Textile Product Mills ,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores) ,,,82121500 - Printing Services
Advertising Business Concepts,"Advertising specialties; printing of forms, envelopes, and letterhead; print (screen) sportswear   ",MBE,SLBE,,No,Yes,"8 Dennison Street, Roxbury, MA 2119",Roxbury,MA,2119,Carlton Smith,,(617) 445-6171,(617) 445-4601,abconcepts1@verizon.net,,Sole Proprietorship,No,01/01/1990,Less than 10,PT - Printers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,AL - Apparel,,,,82140000 - Graphic design,82121500 - Printing Services,
"American Translation Partners, Inc.","Language services:  An international network of language professionals; assist a myriad of industries and markets, including but not limited to government, legal, medical, insurance, technical, financial, internet, software; assist with more than 150 languages",MWBE,SBE,,Yes,Yes,"1 Trowbridge Road, Suite 340, Buzzards Bay, MA 2536",Buzzards Bay,MA,2536,Polly Crystal,,(508) 823-8892,(508) 823-8854,request@atptranslations.com,,Corporation,No,01/01/2000,Less than 10,COV - Consultants: Translation,,,541930 - Translation and Interpretation Services,,,,,
